epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,11463.1,0.41012,0.17901,0.00134,0.98577,0.98374,0.99432,0.96195,0.28222,0.1172,0.00138,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,11829,0.40972,0.17796,0.00133,0.98491,0.98293,0.99415,0.96404,0.27824,0.11671,0.00136,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,12197.9,0.41259,0.18186,0.00134,0.98587,0.9821,0.99412,0.96393,0.27732,0.11724,0.00135,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,12557.4,0.40875,0.17937,0.00133,0.98681,0.98397,0.99427,0.96324,0.27679,0.11421,0.00135,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,12915.9,0.40073,0.17175,0.00132,0.98555,0.98454,0.99425,0.96337,0.27471,0.11424,0.00134,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,13274.6,0.40442,0.17675,0.00132,0.98947,0.98293,0.99443,0.9651,0.27281,0.11154,0.00133,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,13646.7,0.39992,0.17313,0.00132,0.987,0.98718,0.99441,0.96562,0.27115,0.10862,0.00132,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,14006.8,0.40997,0.17572,0.00132,0.98821,0.98732,0.99441,0.96465,0.27212,0.10681,0.00132,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,14368,0.40588,0.17438,0.0013,0.9886,0.98636,0.99445,0.966,0.26937,0.10947,0.00131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,14728.1,0.40319,0.17015,0.0013,0.98781,0.98716,0.99445,0.96584,0.27116,0.10663,0.00133,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,15088.2,0.40086,0.17119,0.0013,0.98781,0.98351,0.9944,0.96591,0.27109,0.11182,0.00132,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,15461,0.40236,0.17258,0.00128,0.98945,0.98633,0.99449,0.96594,0.2704,0.10816,0.00131,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,15819.2,0.39498,0.16665,0.00129,0.99066,0.98615,0.99449,0.96622,0.26782,0.10445,0.0013,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,16180,0.40198,0.16945,0.00128,0.9901,0.98782,0.99446,0.96629,0.26697,0.10438,0.0013,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,16539.6,0.39802,0.16895,0.00129,0.98746,0.98691,0.99422,0.96658,0.2653,0.10501,0.00129,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,16905.5,0.39516,0.16517,0.00126,0.99054,0.98649,0.99434,0.96576,0.2658,0.10443,0.0013,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,17271.5,0.39659,0.16594,0.00127,0.9885,0.98753,0.99442,0.96704,0.26289,0.10614,0.00128,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,17630.1,0.39554,0.16853,0.00127,0.99214,0.98667,0.99446,0.96738,0.26162,0.10237,0.00127,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,17990.9,0.39121,0.16594,0.00126,0.99217,0.9865,0.99448,0.96728,0.26113,0.10043,0.00127,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,18349.6,0.38844,0.16289,0.00126,0.98779,0.98874,0.99452,0.96708,0.26166,0.10407,0.00127,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,18722.4,0.39671,0.16816,0.00128,0.99203,0.98787,0.99457,0.96855,0.26047,0.10056,0.00127,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
