epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,44819.4,0.35984,0.14979,0.00115,0.99247,0.99227,0.99457,0.97321,0.24298,0.09195,0.00118,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,45178.7,0.35879,0.14613,0.00115,0.99366,0.99059,0.99455,0.97327,0.24265,0.09298,0.00118,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,45548.5,0.36083,0.14699,0.00116,0.99105,0.99184,0.99452,0.97324,0.24281,0.09343,0.00118,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,45912.4,0.35628,0.14523,0.00113,0.9923,0.98966,0.9945,0.97323,0.24259,0.09432,0.00118,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
129,46273,0.36156,0.14837,0.00116,0.99286,0.99029,0.99451,0.9732,0.24268,0.09416,0.00118,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
130,46633.5,0.35939,0.14612,0.00115,0.99194,0.99045,0.99435,0.97311,0.24247,0.09576,0.00117,0.0223374,0.0074458,0.0223374,0.0074458,0.0223374,0.0074458,0.0223374,0.0074458
131,46992.5,0.35964,0.14437,0.00115,0.99159,0.99103,0.99438,0.97323,0.24265,0.09592,0.00117,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
132,47365.9,0.36032,0.14508,0.00115,0.9911,0.99147,0.99419,0.97299,0.24239,0.09602,0.00117,0.0222186,0.0074062,0.0222186,0.0074062,0.0222186,0.0074062,0.0222186,0.0074062
133,47732.3,0.35761,0.14343,0.00114,0.99183,0.99092,0.9937,0.97247,0.24231,0.09698,0.00117,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
134,48093.3,0.35967,0.14521,0.00114,0.99177,0.98995,0.99353,0.97231,0.24254,0.09814,0.00117,0.0220998,0.0073666,0.0220998,0.0073666,0.0220998,0.0073666,0.0220998,0.0073666
135,48453.4,0.35766,0.14591,0.00116,0.99228,0.98958,0.99373,0.97252,0.24239,0.09718,0.00117,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
136,48814.9,0.35734,0.14496,0.00115,0.99018,0.99064,0.99371,0.97256,0.24244,0.09702,0.00117,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
137,49188,0.35796,0.14452,0.00114,0.99108,0.98974,0.99372,0.9726,0.24247,0.09678,0.00117,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
138,49549.1,0.3576,0.14261,0.00114,0.99003,0.99115,0.99367,0.97263,0.24245,0.09741,0.00117,0.0218622,0.0072874,0.0218622,0.0072874,0.0218622,0.0072874,0.0218622,0.0072874
139,49908.4,0.35419,0.14172,0.00112,0.99041,0.99069,0.99346,0.97245,0.24232,0.09784,0.00117,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
140,50268.3,0.35611,0.14334,0.00113,0.99086,0.99076,0.99357,0.97257,0.24221,0.09837,0.00117,0.0217434,0.0072478,0.0217434,0.0072478,0.0217434,0.0072478,0.0217434,0.0072478
141,50633.9,0.35068,0.14058,0.00113,0.99092,0.99128,0.99322,0.97222,0.24208,0.09821,0.00117,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
142,51000.8,0.35628,0.1456,0.00113,0.99101,0.99161,0.99329,0.9723,0.24207,0.09806,0.00117,0.0216246,0.0072082,0.0216246,0.0072082,0.0216246,0.0072082,0.0216246,0.0072082
143,51361,0.35042,0.1403,0.00111,0.99056,0.99149,0.99345,0.97248,0.24211,0.09915,0.00117,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
144,51721.6,0.35878,0.14394,0.00112,0.9905,0.99144,0.99329,0.9723,0.24232,0.09895,0.00117,0.0215058,0.0071686,0.0215058,0.0071686,0.0215058,0.0071686,0.0215058,0.0071686
145,52082.2,0.35668,0.14617,0.00111,0.98997,0.99213,0.99351,0.97253,0.24206,0.0988,0.00117,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
146,52452.8,0.3536,0.14399,0.00113,0.99109,0.99103,0.99373,0.97276,0.24184,0.09791,0.00117,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
147,52812.5,0.35212,0.14001,0.00111,0.99098,0.99081,0.99368,0.97268,0.24216,0.09826,0.00117,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
148,53171.5,0.35037,0.13976,0.00113,0.99008,0.99219,0.99366,0.97266,0.24189,0.09733,0.00117,0.0212682,0.0070894,0.0212682,0.0070894,0.0212682,0.0070894,0.0212682,0.0070894
